Tax_Type,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Taxes,"918,539,656","9,755,439","1,363,350","13,721,262","9,168,570","151,234,534","12,747,749","16,184,490","3,513,916","7,109,329","37,217,689","19,732,308","6,485,563","3,976,017","40,821,385","17,435,854","9,189,255","7,884,091","11,597,983","9,696,730","4,064,075","20,001,304","26,973,576","26,957,337","24,479,856","7,902,885","12,005,133","2,843,465","5,086,759","7,532,989","2,487,737","31,567,654","6,009,443","78,201,753","25,084,225","5,736,355","28,297,156","9,692,601","10,577,079","36,110,311","3,165,635","9,598,478","1,674,108","12,698,496","55,086,438","6,703,356","3,043,152","20,536,885","20,644,454","5,565,985","17,019,139","2,356,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Taxes,"17,534,537","336,825","127,821","882,643","1,066,789","2,315,507",X,X,X,"2,251,725",X,"863,586",X,X,"60,959","8,834","1,772","658,758","563,435","56,658","37,028","738,170","5,311","1,963,036","839,487","25,961","30,265","268,057",119,"242,168","404,579","4,547","108,803",X,X,"3,505",X,X,"20,336","41,860","2,480","26,394",X,X,X,X,"1,035,611","32,712","2,018,393","6,679","165,155","318,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales and Gross Receipts Taxes,"432,460,913","4,936,049","255,971","7,885,555","4,410,340","52,412,359","4,744,644","6,554,350","498,557","1,751,874","30,336,315","7,555,865","4,082,196","1,941,280","17,641,282","10,639,926","4,268,628","3,977,806","5,450,451","5,285,626","1,999,051","8,450,318","8,274,172","13,124,461","9,953,411","4,873,777","5,084,211","603,200","2,315,830","6,038,768","970,102","12,951,867","2,995,689","23,932,517","10,733,859","1,935,816","17,214,405","4,032,088","1,498,647","18,369,809","1,620,523","4,845,230","1,372,682","9,196,721","47,654,182","2,766,724","1,026,188","6,495,087","16,241,234","2,619,323","7,647,097","994,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License Taxes,"52,232,278","493,883","115,886","458,737","384,306","9,420,863","680,739","452,687","1,389,894","179,158","2,138,834","633,573","252,431","333,144","2,730,407","643,936","874,778","378,193","487,834","386,358","268,026","851,466","1,213,135","1,563,500","1,392,055","606,432","596,983","350,769","172,391","649,333","322,667","1,553,255","272,008","1,764,149","1,755,328","225,540","2,171,231","1,055,808","988,932","2,222,062","89,794","556,245","288,796","1,502,770","3,426,885","280,021","111,527","829,279","1,396,989","138,918","1,026,575","153,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Taxes,"387,487,181","3,870,173","227,852","4,451,843","3,140,706","86,936,733","7,029,683","8,832,085","1,540,994","2,316,727","2,237,500","10,679,060","2,060,164","1,695,450","19,968,083","6,136,549","3,934,855","2,721,257","4,821,411","3,236,754","1,702,096","9,349,733","16,719,284","10,010,943","11,846,676","2,317,985","6,281,907","1,348,517","2,584,059",X,"672,717","15,829,393","1,631,201","48,794,019","12,527,873","722,170","8,885,559","4,029,959","7,930,842","13,999,110","1,391,704","4,073,030","4,334","1,703,169",X,"3,526,399","821,953","12,721,796",X,"2,121,215","8,101,659",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Taxes,"28,824,747","118,509","635,820","42,484","166,429","149,072","292,683","345,368","84,471","609,845","2,505,040",224,"90,772","6,143","420,654","6,609","109,222","148,077","274,852","731,334","57,874","611,617","761,674","295,397","448,227","78,730","11,767","272,922","14,360","602,720","117,672","1,228,592","1,001,742","3,711,068","67,165","2,849,324","25,961","574,746","138,322","1,477,470","61,134","97,579","8,296","295,836","4,005,371","130,212","47,873","458,011","987,838","679,850","78,653","889,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
