(Unique to the raw data sources that we used),,,,,Standardized by Umich Team,,,,,,
,,,,,,,,,,,
Detailed Energy Description,Revenue Type,Code Source,State,County,Simplified Energy Type,Phase,Notes,,,,
Coal,Federal Mineral Royalties,Montana Department of Revenue,Montana,ALL,Coal,Upstream,,,,,
Coal ,Federal Lands,ONNR Revenue Codes,ALL,ALL,Coal,Upstream,,,,,
Coal ,State Severance,State of CO - Dept of Local Affairs,Colorado,ALL,Coal,Upstream,,,,,
Coal Conversion,Generation Tax,State of North Dakota - Office of State Tax Commissioner,North Dakota,ALL,Coal,Downstream_Power,,,,,
Coal Gross Proceeds,Production Tax,Montana Department of Revenue,Montana,ALL,Coal,Upstream,,,,,
Coal Mining,Property Tax,Wyoming Department of Revenue,Wyoming,ALL,Coal,Upstream, ,,,,
Coal Production,Gross Receipts Tax,NM Taxation and Revenue Department,New Mexico,ALL,Coal,Upstream,,,,,
Coal Reallocation Severance Tax,Severance Tax,Office of the State Treasurer,West Virginia,ALL,Coal,Upstream,,,,,
Coal Severance,State Severance,State of North Dakota - Office of State Tax Commissioner,North Dakota,ALL,Coal,Upstream,,,,,
Coal Severance Tax,Severance Tax,Office of the State Treasurer,West Virginia,ALL,Coal,Upstream,,,,,
Commercial: Renewable Energy,Property Tax,Colorado Department of Local Affairs,Colorado,ALL,Renewable,Downstream_Power,,,,,
Conventional Steam Coal,Property Tax,EIA 860 Generator Data code,ALL,ALL,Coal,Downstream_Power,,,,,
County Road Oil and Gas Trust Fund,Other,State of Texas - Texas Comptroller,Texas,Harris,Oil and gas,Upstream,,,,,
Drilling/Exploration,Property Tax,Kenai Peninsula Annual Financial Reports,Alaska,ALL,Oil,Upstream,,,,,
EG Group Gen Electric,Property Tax,Colorado Department of Local Affairs,Colorado,ALL,Renewable,Downstream_Power,,,,,
Electric and Gas,Property Tax ,County Assessors,North Dakota,ALL,Electric and NG,Downstream_TranDist,,,,,
Electric Generation,Property Tax ,County Treasurers,West Virginia,Multiple,Wind,Downstream_Power,,,,,
Electric Generation,Property Tax ,County Treasurers,West Virginia,Multiple,Coal,Downstream_Power,,,,,
Electric Generation Property,Property Tax,San Bernardino County Assessor,California,San Bernardino,Solar,Downstream_Power,,,,,
Electric Generation Property,Property Tax,San Bernardino County Assessor,California,San Bernardino,NG,Downstream_Power,,,,,
Electric Generation Property,Property Tax,Los Angeles County Treasurer and Tax Collector,California,Los Angeles County,NG,Downstream_Power,,,,,
Electric Generation Property,Property Tax,Los Angeles County Treasurer and Tax Collector,California,Los Angeles County,Solar,Downstream_Power,,,,,
Electric Generation Property,Property Tax,Montana Department of Revenue,Montana,ALL,Solar,Downstream_Power, ,,,,
Electric Generation Property,Property Tax,Montana Department of Revenue,Montana,ALL,Coal,Downstream_Power,,,,,
Electric Generation Property,Property Tax,County Assessors,New Mexico,Multiple,Coal,Downstream_Power, ,,,,
Electric Generation Tax,Generation Tax,North Dakota State Board of Equalization,North Dakota,ALL,NG,Downstream_Power,,,,,
"Electric Power Generation, Transmission and Distribution",Gross Receipts Tax,NM Taxation and Revenue Department,New Mexico,ALL,Electric,Downstream_TranDist," Non-Electric Generating Property Of Electrical Utilities (includes pipelines, oil and gas flow lines, oil and gas field equipment, electric and gas utilities)",,,,
Electricity Transmission and Distribution,Property Tax,West Virginia State Auditor Office ; Umich Team,West Virginia,ALL,Multiple,Midstream_Pipeline,,,,,
Electricity Transmission and Distribution,Property Tax,West Virginia State Auditor Office ; Umich Team,West Virginia,ALL,Electric,Downstream_Distribution,,,,,
EN Group Gen Electric,Property Tax,Colorado Department of Local Affairs,Colorado,ALL,Fossil,Downstream_Power,,,,,
Fluid Pipelines,Property Tax,Colorado Department of Local Affairs,Colorado,ALL,Oil,Midstream_Pipeline,,,,,
"Fossil Fuel Generation, type unknown",ALL,Multiple,ALL,ALL,Fossil,Downstream_Power,,,,,
Fossil Generation,Gross Receipts Tax,NM Taxation and Revenue Department,New Mexico,ALL,Fossil,Downstream_Power,,,,,
Fossil Refining,Gross Receipts Tax,NM Taxation and Revenue Department,New Mexico,ALL,Fossil,Midstream_Refining,,,,,
Gas,Federal Lands,ONNR Revenue Codes,ALL,ALL,NG,Upstream,,,,,
Gas,Federal Mineral Royalties,Montana Department of Revenue,Montana,ALL,NG,Upstream,,,,,
Gas and electric distribution,Property Tax ,West Virginia State Auditor Office ; Umich Team,West Virginia,ALL,Electric and NG,Downstream_Distribution,,,,,
Gas Distribution,Property Tax,West Virginia State Auditor Office ; Umich Team,West Virginia,ALL,NG,Downstream_Distribution,,,,,
Gas Distribution,Property Tax,Wyoming Department of Revenue,Wyoming,ALL,NG,Downstream_Distribution,Umich Team assigned detailed energy description to Utilities,,,,
Gas Pipeline Distribution,Property Tax,Colorado Department of Local Affairs,Colorado,ALL,NG,Downstream_Distribution,,,,,
Gas Pipelines,Property Tax,Wyoming Department of Revenue,Wyoming,ALL,NG,Midstream_Pipeline,,,,,
Gas Primary (PERSONAL),Property Tax,Colorado Department of Local Affairs,Colorado,ALL,NG,Upstream, ,,,,
Gas Primary (REAL),Property Tax,Colorado Department of Local Affairs,Colorado,ALL,NG,Upstream,,,,,
Gas Production Tax,Production Tax,"State of Texas - Texas Comptroller, State of CO",Multiple,ALL,NG,Upstream,,,,,
Gas Secondary (PERSONAL),Property Tax,Colorado Department of Local Affairs,Colorado,ALL,NG,Upstream,,,,,
Gas Secondary (REAL),Property Tax,Colorado Department of Local Affairs,Colorado,ALL,NG,Upstream,,,,,
Gas Transmission Pipelines,Property Tax,Colorado Department of Local Affairs,Colorado,ALL,NG,Midstream_Pipeline,,,,,
"Gas, Electric and Water Utility Tax (Electric Only)",Other,State of Texas - Texas Comptroller,Texas,ALL,Electric,Downstream_TranDist,,,,,
"Gas, Electric and Water Utility Tax (Gas Only)",Other,State of Texas - Texas Comptroller,Texas,ALL,NG,Downstream_TranDist,,,,,
Industrial: Refining/Petroleum,Property Tax,Colorado Department of Local Affairs,Colorado,ALL,NG,Midstream_Refining,,,,,
J2 Gas distribution systems,Property Tax,State of Texas - Texas Comptroller,Texas,ALL,NG,Downstream_TranDist,,,,,
J3 Electric companies,Property Tax ,State of Texas - Texas Comptroller,Texas,ALL,Electric,Downstream_TranDist,,,,,
J6 Pipelines,Property Tax,State of Texas - Texas Comptroller,Texas,ALL,Oil and gas,Midstream_Pipeline,,,,,
Liquid Pipelines,Property Tax,Wyoming Department of Revenue,Wyoming,ALL,Oil,Midstream_Pipeline,,,,,
