Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
Solar and Wind Energy Credit (Corporate),https://programs.dsireusa.org/system/program/detail/49/solar-and-wind-energy-credit-corporate,HI,Financial Incentive,Corporate Tax Credit,01/01/2000,03/21/2025
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Corporate)",https://programs.dsireusa.org/system/program/detail/1804/solar-energy-small-hydropower-and-geothermal-tax-credit-corporate,SC,Financial Incentive,Corporate Tax Credit,07/18/2006,03/19/2025
Electric Vehicles Tax Credit (Corporate),https://programs.dsireusa.org/system/program/detail/22172/electric-vehicles-tax-credit-corporate,DC,Financial Incentive,Corporate Tax Credit,06/03/2021,11/20/2024
Business Energy Investment Tax Credit (ITC),https://programs.dsireusa.org/system/program/detail/658/business-energy-investment-tax-credit-itc,US,Financial Incentive,Corporate Tax Credit,03/15/2002,10/08/2024
Renewable Electricity Production Tax Credit (PTC),https://programs.dsireusa.org/system/program/detail/734/renewable-electricity-production-tax-credit-ptc,US,Financial Incentive,Corporate Tax Credit,03/11/2002,08/13/2024
Wood Energy Production Credit,https://programs.dsireusa.org/system/program/detail/234/wood-energy-production-credit,MO,Financial Incentive,Corporate Tax Credit,01/01/2000,03/12/2024
Energy-Efficient New Homes Tax Credit for Home Builders,https://programs.dsireusa.org/system/program/detail/1272/energy-efficient-new-homes-tax-credit-for-home-builders,US,Financial Incentive,Corporate Tax Credit,01/10/2006,11/17/2023
Qualified Commercial Clean Vehicle Tax Credit,https://programs.dsireusa.org/system/program/detail/22473/qualified-commercial-clean-vehicle-tax-credit,US,Financial Incentive,Corporate Tax Credit,08/18/2022,09/15/2023
Alternative Fuel Vehicle Refueling Property Tax Credit (Corporate),https://programs.dsireusa.org/system/program/detail/22474/alternative-fuel-vehicle-refueling-property-tax-credit-corporate,US,Financial Incentive,Corporate Tax Credit,08/18/2022,09/15/2023
Credit for Renewable Energy Investment and Production for Self-Consumption by International Operations Centers (Corporate),https://programs.dsireusa.org/system/program/detail/5487/credit-for-renewable-energy-investment-and-production-for-self-consumption-by-international-operations-centers-corporate,AZ,Financial Incentive,Corporate Tax Credit,06/18/2014,06/02/2023
2021 Sustainable Building Tax Credit (Corporate),https://programs.dsireusa.org/system/program/detail/22423/2021-sustainable-building-tax-credit-corporate,NM,Financial Incentive,Corporate Tax Credit,12/08/2021,06/02/2023
Clean Alternative Fuel Commercial Vehicle and Vehicle Infrastructure Tax Credit,https://programs.dsireusa.org/system/program/detail/22256/clean-alternative-fuel-commercial-vehicle-and-vehicle-infrastructure-tax-credit,WA,Financial Incentive,Corporate Tax Credit,06/25/2021,04/04/2023
Renewable Energy Systems Tax Credit (Corporate),https://programs.dsireusa.org/system/program/detail/248/renewable-energy-systems-tax-credit-corporate,UT,Financial Incentive,Corporate Tax Credit,01/01/2000,03/22/2023
Alternative Fuel Heavy-Duty Vehicle Tax Credit Program,https://programs.dsireusa.org/system/program/detail/22246/alternative-fuel-heavy-duty-vehicle-tax-credit-program,UT,Financial Incentive,Corporate Tax Credit,06/24/2021,03/21/2023
Refundable Clean Heating Fuel Tax Credit (Corporate),https://programs.dsireusa.org/system/program/detail/4450/refundable-clean-heating-fuel-tax-credit-corporate,NY,Financial Incentive,Corporate Tax Credit,01/09/2009,03/21/2023
Alternative Energy Development Incentive (Corporate),https://programs.dsireusa.org/system/program/detail/3529/alternative-energy-development-incentive-corporate,UT,Financial Incentive,Corporate Tax Credit,07/15/2009,03/21/2023
Alternative Fuels and EV-Recharging Property Credit,https://programs.dsireusa.org/system/program/detail/22212/alternative-fuels-and-ev-recharging-property-credit,NY,Financial Incentive,Corporate Tax Credit,06/11/2021,03/20/2023
Agricultural Biomass Income Tax Credit (Corporate),https://programs.dsireusa.org/system/program/detail/4495/agricultural-biomass-income-tax-credit-corporate,NM,Financial Incentive,Corporate Tax Credit,12/14/2010,03/08/2023
Clean-Burning Motor Vehicle Fuel Property Tax Credit - Corporate,https://programs.dsireusa.org/system/program/detail/22221/clean-burning-motor-vehicle-fuel-property-tax-credit-corporate,OK,Financial Incentive,Corporate Tax Credit,06/17/2021,12/31/2021
Excise Tax Deduction for Solar or Wind Powered Systems,https://programs.dsireusa.org/system/program/detail/148/excise-tax-deduction-for-solar-or-wind-powered-systems,MA,Financial Incentive,Corporate Tax Deduction,01/01/2000,01/02/2025
Energy-Efficient Commercial Buildings Tax Deduction,https://programs.dsireusa.org/system/program/detail/1271/energy-efficient-commercial-buildings-tax-deduction,US,Financial Incentive,Corporate Tax Deduction,01/10/2006,10/08/2024
Deduction For Energy-Conserving Investment,https://programs.dsireusa.org/system/program/detail/1158/deduction-for-energy-conserving-investment,MT,Financial Incentive,Corporate Tax Deduction,06/16/2005,03/20/2023
Excise Tax Exemption for Solar or Wind Powered Systems,https://programs.dsireusa.org/system/program/detail/147/excise-tax-exemption-for-solar-or-wind-powered-systems,MA,Financial Incentive,Corporate Tax Exemption,01/01/2000,01/02/2025
Tax Exemption for Renewable Energy Generation,https://programs.dsireusa.org/system/program/detail/104/tax-exemption-for-renewable-energy-generation,WV,Financial Incentive,Corporate Tax Exemption,09/12/2001,11/20/2024
Energy Replacement Generation Tax Exemption,https://programs.dsireusa.org/system/program/detail/966/energy-replacement-generation-tax-exemption,IA,Financial Incentive,Corporate Tax Exemption,07/10/2003,03/06/2024
"Electric Vehicle Infrastructure Batteries, and Fuel Cells Sales/Use Tax Exemption, Leasehold Tax Exemption",https://programs.dsireusa.org/system/program/detail/22257/electric-vehicle-infrastructure-batteries-and-fuel-cells-sales-use-tax-exemption-leasehold-tax-exemption,WA,Financial Incentive,Corporate Tax Exemption,06/25/2021,12/05/2023
Clean Alternative Fuel and Plug-in Hybrid Vehicles Sales/Use Tax Exemptions,https://programs.dsireusa.org/system/program/detail/22258/clean-alternative-fuel-and-plug-in-hybrid-vehicles-sales-use-tax-exemptions,WA,Financial Incentive,Corporate Tax Exemption,06/25/2021,12/05/2023
Residential Energy Conservation Subsidy Exclusion (Corporate),https://programs.dsireusa.org/system/program/detail/727/residential-energy-conservation-subsidy-exclusion-corporate,US,Financial Incentive,Corporate Tax Exemption,03/05/2002,05/19/2023
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Personal)",https://programs.dsireusa.org/system/program/detail/1803/solar-energy-small-hydropower-and-geothermal-tax-credit-personal,SC,Financial Incentive,Personal Tax Credit,07/18/2006,03/21/2025
Solar and Wind Energy Credit (Personal),https://programs.dsireusa.org/system/program/detail/50/solar-and-wind-energy-credit-personal,HI,Financial Incentive,Personal Tax Credit,01/01/2000,03/21/2025
Residential Solar and Wind Energy Systems Tax Credit,https://programs.dsireusa.org/system/program/detail/118/residential-solar-and-wind-energy-systems-tax-credit,AZ,Financial Incentive,Personal Tax Credit,01/26/2001,03/21/2025
Residential Renewable Energy Income Tax Credit,https://programs.dsireusa.org/system/program/detail/144/residential-renewable-energy-income-tax-credit,MA,Financial Incentive,Personal Tax Credit,01/01/2000,01/02/2025
Electric Vehicle Supply Equipment Tax Credit,https://programs.dsireusa.org/system/program/detail/22167/electric-vehicle-supply-equipment-tax-credit,GA,Financial Incentive,Personal Tax Credit,05/27/2021,01/02/2025
Energy Storage Tax Credit,https://programs.dsireusa.org/system/program/detail/22076/energy-storage-tax-credit,MD,Financial Incentive,Personal Tax Credit,03/28/2019,11/20/2024
Electric Vehicles Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/22173/electric-vehicles-tax-credit-personal,DC,Financial Incentive,Personal Tax Credit,06/03/2021,11/20/2024
Residential Energy Efficiency Tax Credit,https://programs.dsireusa.org/system/program/detail/1274/residential-energy-efficiency-tax-credit,US,Financial Incentive,Personal Tax Credit,01/10/2006,05/31/2024
Geothermal Heat Pump Tax Credit,https://programs.dsireusa.org/system/program/detail/5188/geothermal-heat-pump-tax-credit,IA,Financial Incentive,Personal Tax Credit,06/01/2012,03/06/2024
Investment Tax Credit,https://programs.dsireusa.org/system/program/detail/3428/investment-tax-credit,VT,Financial Incentive,Personal Tax Credit,03/27/2008,02/17/2024
Tax Credit for Residential Energy Storage Systems,https://programs.dsireusa.org/system/program/detail/22490/tax-credit-for-residential-energy-storage-systems,CO,Financial Incentive,Personal Tax Credit,02/22/2023,12/05/2023
Electric Vehicle Income Tax Credit,https://programs.dsireusa.org/system/program/detail/22156/electric-vehicle-income-tax-credit,CO,Financial Incentive,Personal Tax Credit,05/21/2021,06/02/2023
New Solar Market Development Tax Credit,https://programs.dsireusa.org/system/program/detail/22472/new-solar-market-development-tax-credit,NM,Financial Incentive,Personal Tax Credit,08/16/2022,06/02/2023
2021 Sustainable Building Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/22424/2021-sustainable-building-tax-credit-personal,NM,Financial Incentive,Personal Tax Credit,12/08/2021,06/02/2023
Renewable Energy Systems Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/83/renewable-energy-systems-tax-credit-personal,UT,Financial Incentive,Personal Tax Credit,01/01/2000,04/03/2023
Alternative Energy Development Incentive (Personal),https://programs.dsireusa.org/system/program/detail/5330/alternative-energy-development-incentive-personal,UT,Financial Incentive,Personal Tax Credit,10/19/2012,03/21/2023
Residential Solar Tax Credit,https://programs.dsireusa.org/system/program/detail/80/residential-solar-tax-credit,NY,Financial Incentive,Personal Tax Credit,01/01/2000,03/21/2023
Energy Efficient Manufactured Homes Tax Credit,https://programs.dsireusa.org/system/program/detail/3178/energy-efficient-manufactured-homes-tax-credit,SC,Financial Incentive,Personal Tax Credit,12/11/2008,03/21/2023
Refundable Clean Heating Fuel Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/3203/refundable-clean-heating-fuel-tax-credit-personal,NY,Financial Incentive,Personal Tax Credit,01/09/2009,03/21/2023
Agricultural Biomass Income Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/4496/agricultural-biomass-income-tax-credit-personal,NM,Financial Incentive,Personal Tax Credit,12/14/2010,03/08/2023
Plug-In Electric Drive Vehicle Tax Credit,https://programs.dsireusa.org/system/program/detail/22352/plug-in-electric-drive-vehicle-tax-credit,US,Financial Incentive,Personal Tax Credit,08/18/2021,08/29/2022
Previously-Owned Clean Vehicle Tax Credit,https://programs.dsireusa.org/system/program/detail/22476/previously-owned-clean-vehicle-tax-credit,US,Financial Incentive,Personal Tax Credit,08/26/2022,08/26/2022
Alternative Fuel Vehicle Refueling Property Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/22475/alternative-fuel-vehicle-refueling-property-tax-credit-personal,US,Financial Incentive,Personal Tax Credit,08/18/2022,08/18/2022
Residential Renewable Energy Tax Credit,https://programs.dsireusa.org/system/program/detail/1235/residential-renewable-energy-tax-credit,US,Financial Incentive,Personal Tax Credit,08/10/2005,08/16/2022
Clean-Burning Motor Vehicle Fuel Property Tax Credit - Personal,https://programs.dsireusa.org/system/program/detail/22222/clean-burning-motor-vehicle-fuel-property-tax-credit-personal,OK,Financial Incentive,Personal Tax Credit,06/17/2021,12/31/2021
Energy Efficient Residential Construction Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/1230/energy-efficient-residential-construction-tax-credit-personal,OK,Financial Incentive,Personal Tax Credit,07/29/2005,10/17/2020
Alternative Fuel Vehicle Fee Reduction Program,https://programs.dsireusa.org/system/program/detail/22147/alternative-fuel-vehicle-fee-reduction-program,AZ,Financial Incentive,Personal Tax Deduction,05/20/2021,03/28/2023
Income Tax Deduction for Energy Efficiency Upgrades,https://programs.dsireusa.org/system/program/detail/1227/income-tax-deduction-for-energy-efficiency-upgrades,ID,Financial Incentive,Personal Tax Deduction,07/28/2005,03/20/2023
Income Tax Deduction for Energy-Efficient Products,https://programs.dsireusa.org/system/program/detail/4362/income-tax-deduction-for-energy-efficient-products,VA,Financial Incentive,Personal Tax Deduction,09/28/2010,12/04/2020
Qualifying Wood Stove Deduction,https://programs.dsireusa.org/system/program/detail/2/qualifying-wood-stove-deduction,AZ,Financial Incentive,Personal Tax Deduction,01/01/2000,06/02/2023
Residential Alternative Energy Tax Deduction,https://programs.dsireusa.org/system/program/detail/137/residential-alternative-energy-tax-deduction,ID,Financial Incentive,Personal Tax Deduction,01/01/2000,03/15/2023
Wood-Burning Heating System Deduction,https://programs.dsireusa.org/system/program/detail/46/wood-burning-heating-system-deduction,AL,Financial Incentive,Personal Tax Deduction,01/01/2000,01/02/2025
Residential Energy Conservation Subsidy Exclusion (Personal),https://programs.dsireusa.org/system/program/detail/666/residential-energy-conservation-subsidy-exclusion-personal,US,Financial Incentive,Personal Tax Exemption,03/05/2002,07/20/2022
Electric Vehicle Tax Exemption,https://programs.dsireusa.org/system/program/detail/22202/electric-vehicle-tax-exemption,NJ,Financial Incentive,Personal Tax Exemption,06/10/2021,11/20/2024
Electric Vehicle Excise Tax Exemption,https://programs.dsireusa.org/system/program/detail/22164/electric-vehicle-excise-tax-exemption,DC,Financial Incentive,Personal Tax Exemption,05/27/2021,08/12/2021
Alternative Fuel Vehicles Tax Exemption,https://programs.dsireusa.org/system/program/detail/22148/alternative-fuel-vehicles-tax-exemption,AZ,Financial Incentive,Personal Tax Exemption,05/20/2021,06/02/2023
Wind and Solar-Electric (PV) Systems Exemption,https://programs.dsireusa.org/system/program/detail/151/wind-and-solar-electric-pv-systems-exemption,MN,Financial Incentive,Property Tax Incentive,01/01/2000,10/09/2024
Uniform Capacity Tax and Exemption for Solar,https://programs.dsireusa.org/system/program/detail/5209/uniform-capacity-tax-and-exemption-for-solar,VT,Financial Incentive,Property Tax Incentive,06/18/2012,05/22/2024
U.S. Virgin Islands Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/5498/u-s-virgin-islands-property-tax-incentive,VI,Financial Incentive,Property Tax Incentive,06/25/2014,01/02/2025
Special Assessment for Wind Energy Systems,https://programs.dsireusa.org/system/program/detail/561/special-assessment-for-wind-energy-systems,WV,Financial Incentive,Property Tax Incentive,05/03/2001,11/20/2024
Special Assessment for Solar Energy Systems,https://programs.dsireusa.org/system/program/detail/138/special-assessment-for-solar-energy-systems,IL,Financial Incentive,Property Tax Incentive,01/01/2000,03/17/2025
Solar Energy System Exemption,https://programs.dsireusa.org/system/program/detail/888/solar-energy-system-exemption,LA,Financial Incentive,Property Tax Incentive,02/07/2003,05/22/2024
Solar Energy System and Cogeneration System Personal Property Tax Credit,https://programs.dsireusa.org/system/program/detail/5245/solar-energy-system-and-cogeneration-system-personal-property-tax-credit,DC,Financial Incentive,Property Tax Incentive,08/02/2012,03/14/2025
