Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Personal)",https://programs.dsireusa.org/system/program/detail/1803/solar-energy-small-hydropower-and-geothermal-tax-credit-personal,SC,Financial Incentive,Personal Tax Credit,07/18/2006,03/21/2025
Solar and Wind Energy Credit (Personal),https://programs.dsireusa.org/system/program/detail/50/solar-and-wind-energy-credit-personal,HI,Financial Incentive,Personal Tax Credit,01/01/2000,03/21/2025
Residential Solar and Wind Energy Systems Tax Credit,https://programs.dsireusa.org/system/program/detail/118/residential-solar-and-wind-energy-systems-tax-credit,AZ,Financial Incentive,Personal Tax Credit,01/26/2001,03/21/2025
Residential Renewable Energy Income Tax Credit,https://programs.dsireusa.org/system/program/detail/144/residential-renewable-energy-income-tax-credit,MA,Financial Incentive,Personal Tax Credit,01/01/2000,01/02/2025
Electric Vehicle Supply Equipment Tax Credit,https://programs.dsireusa.org/system/program/detail/22167/electric-vehicle-supply-equipment-tax-credit,GA,Financial Incentive,Personal Tax Credit,05/27/2021,01/02/2025
Energy Storage Tax Credit,https://programs.dsireusa.org/system/program/detail/22076/energy-storage-tax-credit,MD,Financial Incentive,Personal Tax Credit,03/28/2019,11/20/2024
Electric Vehicles Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/22173/electric-vehicles-tax-credit-personal,DC,Financial Incentive,Personal Tax Credit,06/03/2021,11/20/2024
Residential Energy Efficiency Tax Credit,https://programs.dsireusa.org/system/program/detail/1274/residential-energy-efficiency-tax-credit,US,Financial Incentive,Personal Tax Credit,01/10/2006,05/31/2024
Geothermal Heat Pump Tax Credit,https://programs.dsireusa.org/system/program/detail/5188/geothermal-heat-pump-tax-credit,IA,Financial Incentive,Personal Tax Credit,06/01/2012,03/06/2024
Investment Tax Credit,https://programs.dsireusa.org/system/program/detail/3428/investment-tax-credit,VT,Financial Incentive,Personal Tax Credit,03/27/2008,02/17/2024
Tax Credit for Residential Energy Storage Systems,https://programs.dsireusa.org/system/program/detail/22490/tax-credit-for-residential-energy-storage-systems,CO,Financial Incentive,Personal Tax Credit,02/22/2023,12/05/2023
Electric Vehicle Income Tax Credit,https://programs.dsireusa.org/system/program/detail/22156/electric-vehicle-income-tax-credit,CO,Financial Incentive,Personal Tax Credit,05/21/2021,06/02/2023
New Solar Market Development Tax Credit,https://programs.dsireusa.org/system/program/detail/22472/new-solar-market-development-tax-credit,NM,Financial Incentive,Personal Tax Credit,08/16/2022,06/02/2023
2021 Sustainable Building Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/22424/2021-sustainable-building-tax-credit-personal,NM,Financial Incentive,Personal Tax Credit,12/08/2021,06/02/2023
Renewable Energy Systems Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/83/renewable-energy-systems-tax-credit-personal,UT,Financial Incentive,Personal Tax Credit,01/01/2000,04/03/2023
Alternative Energy Development Incentive (Personal),https://programs.dsireusa.org/system/program/detail/5330/alternative-energy-development-incentive-personal,UT,Financial Incentive,Personal Tax Credit,10/19/2012,03/21/2023
Residential Solar Tax Credit,https://programs.dsireusa.org/system/program/detail/80/residential-solar-tax-credit,NY,Financial Incentive,Personal Tax Credit,01/01/2000,03/21/2023
Energy Efficient Manufactured Homes Tax Credit,https://programs.dsireusa.org/system/program/detail/3178/energy-efficient-manufactured-homes-tax-credit,SC,Financial Incentive,Personal Tax Credit,12/11/2008,03/21/2023
Refundable Clean Heating Fuel Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/3203/refundable-clean-heating-fuel-tax-credit-personal,NY,Financial Incentive,Personal Tax Credit,01/09/2009,03/21/2023
Agricultural Biomass Income Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/4496/agricultural-biomass-income-tax-credit-personal,NM,Financial Incentive,Personal Tax Credit,12/14/2010,03/08/2023
Plug-In Electric Drive Vehicle Tax Credit,https://programs.dsireusa.org/system/program/detail/22352/plug-in-electric-drive-vehicle-tax-credit,US,Financial Incentive,Personal Tax Credit,08/18/2021,08/29/2022
Previously-Owned Clean Vehicle Tax Credit,https://programs.dsireusa.org/system/program/detail/22476/previously-owned-clean-vehicle-tax-credit,US,Financial Incentive,Personal Tax Credit,08/26/2022,08/26/2022
Alternative Fuel Vehicle Refueling Property Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/22475/alternative-fuel-vehicle-refueling-property-tax-credit-personal,US,Financial Incentive,Personal Tax Credit,08/18/2022,08/18/2022
Residential Renewable Energy Tax Credit,https://programs.dsireusa.org/system/program/detail/1235/residential-renewable-energy-tax-credit,US,Financial Incentive,Personal Tax Credit,08/10/2005,08/16/2022
Clean-Burning Motor Vehicle Fuel Property Tax Credit - Personal,https://programs.dsireusa.org/system/program/detail/22222/clean-burning-motor-vehicle-fuel-property-tax-credit-personal,OK,Financial Incentive,Personal Tax Credit,06/17/2021,12/31/2021
Energy Efficient Residential Construction Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/1230/energy-efficient-residential-construction-tax-credit-personal,OK,Financial Incentive,Personal Tax Credit,07/29/2005,10/17/2020
