Name,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated,Details
Wind and Solar-Electric (PV) Systems Exemption,MN,Financial Incentive,Property Tax Incentive,01/01/2000,10/09/2024,https://programs.dsireusa.org/system/program/detail/151/wind-and-solar-electric-pv-systems-exemption
Uniform Capacity Tax and Exemption for Solar,VT,Financial Incentive,Property Tax Incentive,06/18/2012,05/22/2024,https://programs.dsireusa.org/system/program/detail/5209/uniform-capacity-tax-and-exemption-for-solar
U.S. Virgin Islands Property Tax Incentive,VI,Financial Incentive,Property Tax Incentive,06/25/2014,01/02/2025,https://programs.dsireusa.org/system/program/detail/5498/u-s-virgin-islands-property-tax-incentive
Special Assessment for Wind Energy Systems,WV,Financial Incentive,Property Tax Incentive,05/03/2001,11/20/2024,https://programs.dsireusa.org/system/program/detail/561/special-assessment-for-wind-energy-systems
Special Assessment for Solar Energy Systems,IL,Financial Incentive,Property Tax Incentive,01/01/2000,03/17/2025,https://programs.dsireusa.org/system/program/detail/138/special-assessment-for-solar-energy-systems
Solar Energy System Exemption,LA,Financial Incentive,Property Tax Incentive,02/07/2003,05/22/2024,https://programs.dsireusa.org/system/program/detail/888/solar-energy-system-exemption
Solar Energy System and Cogeneration System Personal Property Tax Credit,DC,Financial Incentive,Property Tax Incentive,08/02/2012,03/14/2025,https://programs.dsireusa.org/system/program/detail/5245/solar-energy-system-and-cogeneration-system-personal-property-tax-credit
Solar Energy Facility Exemption,MI,Financial Incentive,Property Tax Incentive,08/15/2024,08/15/2024,https://programs.dsireusa.org/system/program/detail/22686/solar-energy-facility-exemption
Solar and Wind Energy Property Tax Exemption,ME,Financial Incentive,Property Tax Incentive,03/10/2021,01/02/2025,https://programs.dsireusa.org/system/program/detail/22141/solar-and-wind-energy-property-tax-exemption
Renewable Energy Systems Property Tax Exemption,NV,Financial Incentive,Property Tax Incentive,01/01/2000,03/21/2025,https://programs.dsireusa.org/system/program/detail/158/renewable-energy-systems-property-tax-exemption
