Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
Wood Heating Fuel Exemption,https://programs.dsireusa.org/system/program/detail/143/wood-heating-fuel-exemption,MD,Financial Incentive,Sales Tax Incentive,01/01/2000,03/11/2025
Wind Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/601/wind-energy-sales-tax-exemption,MN,Financial Incentive,Sales Tax Incentive,11/29/2001,12/10/2024
Tax Exemption for Large-Scale Renewable Energy Projects,https://programs.dsireusa.org/system/program/detail/2742/tax-exemption-for-large-scale-renewable-energy-projects,KY,Financial Incentive,Sales Tax Incentive,10/08/2007,12/12/2024
Solar Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/1234/solar-sales-tax-exemption,NY,Financial Incentive,Sales Tax Incentive,08/10/2005,01/06/2025
Solar Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/1218/solar-energy-sales-tax-exemption,MN,Financial Incentive,Sales Tax Incentive,07/14/2005,12/12/2024
Solar Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/219/solar-energy-sales-tax-exemption,NJ,Financial Incentive,Sales Tax Incentive,01/01/2000,01/06/2025
Solar Energy Gross Receipts Tax Deduction,https://programs.dsireusa.org/system/program/detail/2566/solar-energy-gross-receipts-tax-deduction,NM,Financial Incentive,Sales Tax Incentive,05/25/2007,12/05/2023
Solar and Wind Equipment Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/119/solar-and-wind-equipment-sales-tax-exemption,AZ,Financial Incentive,Sales Tax Incentive,01/01/2000,03/21/2025
Solar and CHP Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/243/solar-and-chp-sales-tax-exemption,FL,Financial Incentive,Sales Tax Incentive,01/01/2000,01/02/2025
Sales Tax Holiday for Energy-Efficient Appliances,https://programs.dsireusa.org/system/program/detail/4426/sales-tax-holiday-for-energy-efficient-appliances,MD,Financial Incentive,Sales Tax Incentive,10/26/2010,01/06/2025
Sales Tax Holiday for Energy-Efficient Appliances,https://programs.dsireusa.org/system/program/detail/3030/sales-tax-holiday-for-energy-efficient-appliances,MO,Financial Incentive,Sales Tax Incentive,07/29/2008,12/12/2024
Sales Tax Exemption for Wind and Solar Energy - High Impact Business,https://programs.dsireusa.org/system/program/detail/3543/sales-tax-exemption-for-wind-and-solar-energy-high-impact-business,IL,Financial Incentive,Sales Tax Incentive,07/16/2009,12/12/2024
Sales Tax Exemption for Manufacturing Facilities,https://programs.dsireusa.org/system/program/detail/2745/sales-tax-exemption-for-manufacturing-facilities,KY,Financial Incentive,Sales Tax Incentive,10/10/2007,12/12/2024
Sales Tax Exemption for Hydrogen Generation Facilities,https://programs.dsireusa.org/system/program/detail/4989/sales-tax-exemption-for-hydrogen-generation-facilities,ND,Financial Incentive,Sales Tax Incentive,09/01/2011,12/04/2024
Sales Tax Exemption for Hydrogen Fuel Cells,https://programs.dsireusa.org/system/program/detail/2755/sales-tax-exemption-for-hydrogen-fuel-cells,SC,Financial Incentive,Sales Tax Incentive,10/17/2007,12/05/2023
Sales Tax Exemption for Energy-Efficient Products (Sales Tax Holiday),https://programs.dsireusa.org/system/program/detail/2796/sales-tax-exemption-for-energy-efficient-products-sales-tax-holiday,VA,Financial Incentive,Sales Tax Incentive,11/13/2007,02/24/2023
Sales Tax Exemption for Energy Storage Systems,https://programs.dsireusa.org/system/program/detail/22489/sales-tax-exemption-for-energy-storage-systems,CO,Financial Incentive,Sales Tax Incentive,02/22/2023,12/12/2024
Sales Tax Exemption - Machinery for New and Expanded Industry,https://programs.dsireusa.org/system/program/detail/22572/sales-tax-exemption-machinery-for-new-and-expanded-industry,KY,Financial Incentive,Sales Tax Incentive,12/05/2023,12/12/2024
Sales Tax Credit for Clean Energy Technology,https://programs.dsireusa.org/system/program/detail/4919/sales-tax-credit-for-clean-energy-technology,TN,Financial Incentive,Sales Tax Incentive,07/18/2011,01/02/2025
Sales and Use Tax Exemption for Solar and Geothermal Systems,https://programs.dsireusa.org/system/program/detail/2613/sales-and-use-tax-exemption-for-solar-and-geothermal-systems,CT,Financial Incentive,Sales Tax Incentive,06/21/2007,03/20/2023
Sales and Use Tax Exemption for Residential Solar and Wind Electricity Sales,https://programs.dsireusa.org/system/program/detail/4853/sales-and-use-tax-exemption-for-residential-solar-and-wind-electricity-sales,MD,Financial Incentive,Sales Tax Incentive,06/03/2011,01/06/2025
