"state","revenue","year"
"US","1,041,365,054",2018
"AL","11,055,577",2018
"AK","1,656,352",2018
"AZ","16,310,140",2018
"AR","9,819,284",2018
"CA","178,437,038",2018
"CO","14,924,842",2018
"CT","18,831,458",2018
"DE","4,220,057",2018
"DC","7,959,386",2018
"FL","45,961,204",2018
"GA","23,602,510",2018
"HI","7,714,451",2018
"ID","4,835,969",2018
"IL","42,575,392",2018
"IN","22,056,726",2018
"IA","10,088,480",2018
"KS","9,546,790",2018
"KY","12,297,789",2018
"LA","11,357,686",2018
"ME","4,410,632",2018
"MD","22,427,037",2018
"MA","29,654,803",2018
"MI","30,046,808",2018
"MN","26,697,469",2018
"MS","7,890,571",2018
"MO","13,025,070",2018
"MT","3,003,980",2018
"NE","5,393,093",2018
"NV","9,157,036",2018
"NH","2,920,888",2018
"NJ","35,365,046",2018
"NM","5,539,329",2018
"NY","86,870,101",2018
"NC","27,854,728",2018
"ND","4,205,184",2018
"OH","29,324,817",2018
"OK","9,506,058",2018
"OR","12,647,344",2018
"PA","40,709,545",2018
"RI","3,358,594",2018
"SC","10,530,212",2018
"SD","1,917,548",2018
"TN","15,743,880",2018
"TX","60,328,843",2018
"UT","9,365,418",2018
"VT","3,326,560",2018
"VA","24,315,846",2018
"WA","26,579,324",2018
"WV","5,443,291",2018
"WI","18,717,467",2018
"WY","1,837,401",2018
"US","20,020,990",2018
"AL","406,288",2018
"AK","122,341",2018
"AZ","1,047,254",2018
"AR","1,188,905",2018
"CA","2,837,386",2018
"CO","X",2018
"CT","X",2018
"DE","X",2018
"DC","2,621,626",2018
"FL","X",2018
"GA","927,590",2018
"HI","X",2018
"ID","X",2018
"IL","59,589",2018
"IN","12,927",2018
"IA","1,671",2018
"KS","714,895",2018
"KY","660,902",2018
"LA","60,172",2018
"ME","39,308",2018
"MD","808,763",2018
"MA","7,197",2018
"MI","2,182,188",2018
"MN","818,513",2018
"MS","29,540",2018
"MO","33,267",2018
"MT","300,258",2018
"NE","129",2018
"NV","317,136",2018
"NH","408,769",2018
"NJ","5,016",2018
"NM","84,224",2018
"NY","X",2018
"NC","X",2018
"ND","4,549",2018
"OH","X",2018
"OK","X",2018
"OR","20,116",2018
"PA","34,399",2018
"RI","2,704",2018
"SC","37,298",2018
"SD","X",2018
"TN","X",2018
"TX","X",2018
"UT","X",2018
"VT","1,065,767",2018
"VA","31,890",2018
"WA","2,769,520",2018
"WV","7,316",2018
"WI","101,424",2018
"WY","250,153",2018
"US","488,569,980",2018
"AL","5,534,807",2018
"AK","252,970",2018
"AZ","9,708,694",2018
"AR","4,834,983",2018
"CA","57,345,108",2018
"CO","5,712,243",2018
"CT","7,556,076",2018
"DE","585,645",2018
"DC","1,930,168",2018
"FL","38,456,615",2018
"GA","9,132,965",2018
"HI","4,732,032",2018
"ID","2,383,727",2018
"IL","18,699,777",2018
"IN","12,119,558",2018
"IA","4,687,073",2018
"KS","4,494,809",2018
"KY","5,714,427",2018
"LA","6,864,723",2018
"ME","2,250,293",2018
"MD","9,567,244",2018
"MA","9,022,362",2018
"MI","14,398,369",2018
"MN","10,614,808",2018
"MS","5,030,854",2018
"MO","5,539,227",2018
"MT","655,034",2018
"NE","2,502,020",2018
"NV","7,329,456",2018
"NH","1,025,902",2018
"NJ","15,424,507",2018
"NM","2,874,807",2018
"NY","26,399,319",2018
"NC","12,213,452",2018
"ND","1,395,503",2018
"OH","18,348,501",2018
"OK","4,193,511",2018
"OR","1,660,004",2018
"PA","21,034,252",2018
"RI","1,682,021",2018
"SC","4,948,178",2018
"SD","1,585,089",2018
"TN","11,817,903",2018
"TX","51,462,209",2018
"UT","3,857,825",2018
"VT","1,137,650",2018
"VA","7,688,302",2018
"WA","20,327,520",2018
"WV","2,727,006",2018
"WI","8,247,655",2018
